label,cores,duration_s,primes_total,max_number,max_freq_mhz,timestamp,notes
single,1,60,6023,59586,4391.223,2025-11-25 19:36:22,default
all,24,60,92271,36952,4167.371,2025-11-25 19:37:22,default
single,1,60,6166,61288,4341.995,2025-11-25 19:45:29,TPU
all,24,60,98388,39599,4272.143,2025-11-25 19:46:29,TPU
single,1,60,6119,60714,4368.041,2025-11-25 19:51:22,test
all,24,60,100613,40312,4292.261,2025-11-25 19:52:22,test
single,1,60,6157,61142,4307.864,2025-11-25 19:56:52,test
all,24,60,99603,39915,4292.271,2025-11-25 19:57:52,test
single,1,60,6316,62971,4304.134,4293.470,2025-11-25 20:02:53,irgendwas
all,24,60,107531,43240,4292.256,4292.200,2025-11-25 20:03:53,irgendwas
single,1,60,6447,64434,4357.994,4346.346,2025-11-25 20:09:49,unstable
all,24,60,108568,43770,4342.033,4341.975,2025-11-25 20:10:49,unstable
single,1,60,6393,63760,4304.972,4293.568,2025-11-25 20:22:11,stable
all,24,60,107461,43132,4292.128,4292.076,2025-11-25 20:23:11,stable
single,1,60,6638,66579,4491.605,4454.511,2025-11-25 20:27:06,pbo
all,24,60,104642,42086,4305.014,4094.571,2025-11-25 20:28:06,pbo
single,1,60,6570,65761,4500.835,4421.023,2025-11-25 20:32:11,pbo-e
all,24,60,104137,41894,4541.301,4107.249,2025-11-25 20:33:11,pbo-e
single,1,60,6636,66561,4516.467,4459.365,2025-11-26 00:18:21,pbo-a
all,24,60,105406,42288,4541.346,4119.299,2025-11-26 00:19:21,pbo-a
single,1,60,6652,66739,4541.521,4478.339,2025-11-26 02:10:22,pbo
all,24,60,105618,42419,4495.435,4127.931,2025-11-26 02:11:22,pbo
single,1,60,6616,66349,4507.989,4467.766,2025-11-26 02:27:06,pbo
all,24,60,104028,41683,4490.466,4122.480,2025-11-26 02:28:06,pbo
single,1,60,6673,66964,4521.093,4456.591,2025-11-26 02:41:11,pbo
all,24,60,102597,41228,4550.236,4053.524,2025-11-26 02:42:11,pbo
single,1,60,6413,64006,4358.046,4344.108,2025-11-26 02:54:30,oc
all,24,60,108994,43991,4342.235,4341.744,2025-11-26 02:55:30,oc
single,1,60,6482,64873,4407.448,4395.047,2025-11-26 03:03:02,oc+
all,24,60,108601,44027,4391.785,4391.746,2025-11-26 03:04:02,oc+
single,1,60,6131,60832,4316.935,4245.640,2025-11-26 05:19:24,conservative
all,24,60,102921,41586,4217.480,4117.096,2025-11-26 05:20:24,conservative
single,1,60,6356,63419,4387.444,4261.098,2025-11-26 05:23:22,conservative
single,1,60,6291,62660,4316.721,4253.846,2025-11-26 15:00:14,conservative
all,24,60,97009,39401,4291.976,4282.600,2025-11-26 15:01:14,conservative
single,1,60,6256,62233,4566.331,4333.431,2025-11-26 15:09:14,pbo
all,24,60,93176,37827,4266.756,4215.213,2025-11-26 15:10:14,pbo
single,1,60,6329,63113,4492.472,4288.797,2025-11-26 15:29:32,pboe
all,24,60,104430,42144,4276.381,4120.849,2025-11-26 15:30:32,pboe
single,1,60,6313,62932,4399.464,4328.835,2025-11-29 08:06:53,default
all,24,60,96954,38860,4399.464,4055.807,2025-11-29 08:07:53,default
single,1,60,6152,61082,4309.708,4295.100,2025-11-29 08:28:52,stable
all,24,60,101461,40608,4293.256,4291.872,2025-11-29 08:29:52,stable
